Date,Open,High,Low,Close,Adj Close,Volume
2018-03-01,533.049988,533.380005,527.099976,529.590027,529.590027,91367500
2018-03-02,524.780029,525.609985,517.270020,518.719971,518.719971,109443800
2018-03-05,517.789978,527.320007,517.789978,526.510010,526.510010,82547100
2018-03-06,530.919983,531.070007,528.330017,528.359985,528.359985,77067600
2018-03-07,526.020020,531.229980,524.830017,530.710022,530.710022,77504400
2018-03-08,531.330017,536.559998,530.440002,535.219971,535.219971,89530700
2018-03-09,534.869995,537.909973,534.320007,537.140015,537.140015,70382500
2018-03-12,539.729980,539.750000,536.250000,538.429993,538.429993,60211000
2018-03-13,538.530029,539.530029,530.520020,532.520020,532.520020,81458300
2018-03-14,531.229980,534.640015,529.890015,530.969971,530.969971,81665000
2018-03-15,532.929993,534.289978,530.770020,533.299988,533.299988,78266700
2018-03-16,533.530029,537.820007,533.359985,536.919983,536.919983,186242000
2018-03-19,536.289978,536.760010,530.309998,531.520020,531.520020,75853600
2018-03-20,532.450012,536.109985,530.789978,535.450012,535.450012,75764500
2018-03-21,535.460022,536.570007,533.219971,536.479980,536.479980,76075800
2018-03-22,532.809998,536.049988,524.570007,528.369995,528.369995,105186400
2018-03-23,523.669983,525.239990,517.880005,521.450012,521.450012,100545100
2018-03-26,522.679993,524.799988,516.580017,518.750000,518.750000,79409100
2018-03-27,527.159973,528.140015,524.909973,525.760010,525.760010,85944300
2018-03-28,521.039978,527.099976,517.700012,527.000000,527.000000,101434200
2018-03-29,528.130005,532.219971,526.229980,529.520020,529.520020,80966900
2018-04-03,525.320007,530.400024,524.289978,528.479980,528.479980,78799800
2018-04-04,528.960022,529.390015,521.679993,526.190002,526.190002,88481800
2018-04-05,534.450012,541.099976,533.640015,540.489990,540.489990,96726600
2018-04-06,538.109985,541.140015,537.599976,539.289978,539.289978,80339000
2018-04-09,540.390015,541.650024,537.530029,539.900024,539.900024,65370100
2018-04-10,543.109985,545.570007,541.390015,545.250000,545.250000,86666300
2018-04-11,544.190002,545.530029,542.159973,544.500000,544.500000,78454600
2018-04-12,545.099976,548.750000,544.559998,547.900024,547.900024,91060600
2018-04-13,547.989990,549.070007,546.539978,548.049988,548.049988,75096800
2018-04-16,548.429993,549.020020,545.960022,546.619995,546.619995,70214700
2018-04-17,548.099976,552.330017,547.309998,551.320007,551.320007,76949000
2018-04-18,550.619995,553.830017,550.619995,553.349976,553.349976,92278100
2018-04-19,553.719971,553.830017,550.010010,551.309998,551.309998,76254500
2018-04-20,549.130005,552.039978,548.570007,550.380005,550.380005,91861000
2018-04-23,550.169983,554.330017,549.020020,554.250000,554.250000,76258000
2018-04-24,552.479980,556.510010,552.289978,556.440002,556.440002,80290700
2018-04-25,551.080017,553.570007,548.789978,551.729980,551.729980,89744300
2018-04-26,549.900024,554.760010,548.840027,554.409973,554.409973,107421800
2018-04-27,554.840027,556.150024,553.159973,554.940002,554.940002,79637400
2018-04-30,554.229980,555.890015,553.919983,555.729980,555.729980,77035600
2018-05-02,555.539978,557.690002,555.070007,555.859985,555.859985,95419100
2018-05-03,554.239990,555.299988,550.419983,551.729980,551.729980,85234500
2018-05-04,552.650024,555.760010,552.369995,555.700012,555.700012,78404100
2018-05-07,555.229980,557.969971,554.989990,557.859985,557.859985,42507100
2018-05-08,557.239990,559.739990,556.659973,558.510010,558.510010,82714600
2018-05-09,559.039978,561.510010,558.450012,561.510010,561.510010,107524700
2018-05-10,561.109985,563.119995,560.460022,562.179993,562.179993,73385500
2018-05-11,561.630005,562.940002,560.380005,562.270020,562.270020,82647300
2018-05-14,562.109985,563.570007,561.520020,563.520020,563.520020,72412400
2018-05-15,562.500000,565.770020,561.989990,564.489990,564.489990,90357400
2018-05-16,562.989990,565.479980,562.989990,565.130005,565.130005,82183400
2018-05-17,565.140015,568.960022,564.950012,568.960022,568.960022,97186900
2018-05-18,567.710022,570.219971,565.099976,567.030029,567.030029,94962300
2018-05-21,568.229980,571.080017,568.059998,570.070007,570.070007,110470200
2018-05-22,569.799988,572.900024,569.130005,572.049988,572.049988,117381900
2018-05-23,569.950012,570.080017,563.299988,565.070007,565.070007,152487400
2018-05-24,565.489990,567.849976,560.479980,561.619995,561.619995,114082100
2018-05-25,564.320007,565.309998,559.960022,562.770020,562.770020,94095100
2018-05-28,564.840027,565.340027,558.119995,559.840027,559.840027,58581300
2018-05-29,556.809998,558.200012,550.380005,554.770020,554.770020,122380000
2018-05-30,554.880005,557.599976,553.200012,557.599976,557.599976,99352700
2018-05-31,558.820007,559.260010,552.359985,552.849976,552.849976,139165000
2018-06-01,556.520020,560.859985,556.429993,559.179993,559.179993,96199600
2018-06-04,562.210022,563.530029,560.820007,561.700012,561.700012,86140400
2018-06-05,561.369995,565.950012,560.909973,562.780029,562.780029,89414700
2018-06-06,563.239990,564.619995,558.260010,562.239990,562.239990,88079100
2018-06-07,565.229980,565.229980,559.960022,562.039978,562.039978,94237300
2018-06-08,558.039978,561.390015,555.770020,560.030029,560.030029,94424500
2018-06-11,562.289978,565.489990,561.700012,564.840027,564.840027,82924700
2018-06-12,567.059998,567.570007,562.380005,563.010010,563.010010,75803200
2018-06-13,563.500000,566.380005,563.159973,563.950012,563.950012,89105800
2018-06-14,560.659973,568.510010,557.390015,567.530029,567.530029,109746100
2018-06-15,567.830017,569.159973,561.710022,561.710022,561.710022,176439300
2018-06-18,560.270020,561.429993,556.500000,559.679993,559.679993,84663000
2018-06-19,553.119995,555.510010,551.719971,554.570007,554.570007,93717000
2018-06-20,557.460022,558.969971,554.969971,554.969971,554.969971,98581700
2018-06-21,556.820007,558.250000,551.159973,552.599976,552.599976,96603700
2018-06-22,553.700012,560.340027,553.609985,560.340027,560.340027,87161000
2018-06-25,556.729980,558.200012,546.809998,546.809998,546.809998,61320100
2018-06-26,548.989990,550.570007,547.080017,547.270020,547.270020,74591700
2018-06-27,547.479980,554.919983,543.869995,552.190002,552.190002,90238400
2018-06-28,549.659973,552.409973,544.119995,547.479980,547.479980,80881000
2018-06-29,553.109985,554.960022,551.679993,551.679993,551.679993,95755500
2018-07-02,545.460022,548.859985,544.090027,546.510010,546.510010,76337200
2018-07-03,549.539978,551.659973,547.169983,550.059998,550.059998,69130300
2018-07-04,548.729980,550.359985,547.919983,549.219971,549.219971,61574700
2018-07-05,549.010010,556.210022,549.010010,552.440002,552.440002,83348400
2018-07-06,555.090027,555.309998,550.239990,553.619995,553.619995,81127100
2018-07-09,557.000000,558.849976,556.270020,557.710022,557.710022,70117300
2018-07-10,559.030029,561.570007,558.219971,560.580017,560.580017,67612100
2018-07-11,556.539978,556.840027,553.250000,553.250000,553.250000,79618800
2018-07-12,554.460022,557.039978,552.440002,557.020020,557.020020,66138400
2018-07-13,558.419983,560.799988,558.419983,560.119995,560.119995,56417600
2018-07-16,560.859985,561.400024,557.289978,558.349976,558.349976,55131100
2018-07-17,558.190002,559.960022,556.020020,559.190002,559.190002,69496800
2018-07-18,563.950012,568.830017,563.489990,568.190002,568.190002,75930900
2018-07-19,568.280029,570.710022,567.190002,570.210022,570.210022,77795500
2018-07-20,569.150024,573.010010,566.859985,572.200012,572.200012,101704900
2018-07-23,570.609985,572.190002,568.559998,570.479980,570.479980,61337100
2018-07-24,572.460022,575.669983,570.549988,573.619995,573.619995,84967900
2018-07-25,572.830017,574.159973,571.640015,572.900024,572.900024,72851100
2018-07-26,574.919983,575.650024,571.809998,573.659973,573.659973,108037900
2018-07-27,574.229980,576.900024,573.880005,576.239990,576.239990,81440000
2018-07-30,572.650024,574.969971,572.570007,573.190002,573.190002,68704400
2018-07-31,574.349976,575.679993,574.020020,574.250000,574.250000,87780200
2018-08-01,574.679993,575.489990,571.960022,572.880005,572.880005,86239800
2018-08-02,570.630005,572.539978,567.869995,569.950012,569.950012,142086600
2018-08-03,571.780029,573.340027,570.840027,572.289978,572.289978,78632400
2018-08-06,572.520020,573.609985,570.539978,572.559998,572.559998,58409000
2018-08-07,573.950012,575.450012,573.380005,573.909973,573.909973,69672500
2018-08-08,572.409973,575.090027,572.280029,573.700012,573.700012,69419400
2018-08-09,571.359985,573.010010,571.270020,572.219971,572.219971,63582100
2018-08-10,567.809998,568.739990,560.789978,562.979980,562.979980,99312200
2018-08-13,561.229980,562.690002,559.539978,561.190002,561.190002,75759700
2018-08-14,563.659973,565.010010,560.349976,561.479980,561.479980,65311600
2018-08-15,562.409973,562.429993,550.729980,552.700012,552.700012,83466500
2018-08-16,555.270020,557.059998,553.859985,556.380005,556.380005,75060200
2018-08-17,556.099976,556.130005,549.729980,552.950012,552.950012,78776600
2018-08-20,554.559998,557.460022,554.150024,556.049988,556.049988,65713300
2018-08-21,555.570007,558.380005,555.409973,557.200012,557.200012,61683300
2018-08-22,555.390015,560.390015,555.390015,559.200012,559.200012,78710900
2018-08-23,559.270020,561.630005,558.869995,558.909973,558.909973,60935100
2018-08-24,559.320007,561.520020,559.320007,560.289978,560.289978,61273200
2018-08-27,562.000000,564.409973,561.309998,564.130005,564.130005,46429700
